Subject,Date,Avg BatteryLevel,Avg Calories per day,Avg HeartRate,Avg SkinTemperature
P0701,2019-05-11,53.98668818,1273.095056,72.84159034,31.5150418
P0702,2019-05-11,42.75744879,905.9873456,84.21934747,31.72926615
P0703,2019-05-11,69.17651246,775.149791,76.52374448,33.44397712
P0704,2019-05-11,77.59779951,1320.902207,71.64310108,33.37154583
P0705,2019-05-11,59.85775975,1449.872845,79.65898343,32.56526315
P0706,2019-05-11,,,,
P0707,2019-05-11,70.12189254,1077.028629,68.95951282,30.83293669
P0708,2019-05-11,66.14501555,1440.883255,75.73422782,31.67314724
P0709,2019-05-11,45.90229312,1395.460383,73.68004422,32.61304341
P0710,2019-05-11,75.85235378,1337.390426,89.3533568,31.90310468
